table_name,column_name,column_order,data_type,n_rows,n_with_data,n_distinct,pct_with_data,est_rows_same_value,likely_pii,action
cpcms_diversionary_data,offense_sequence_number,3,DOUBLE,205006,205006,893,1,229.57,FALSE,numeric
cpcms_diversionary_data,otn,2,VARCHAR,205006,204999,75646,0.9999658546579124,2.71,FALSE,key
cpcms_diversionary_data,program_admission_date,5,VARCHAR,205006,205006,3567,1,57.47,FALSE,date
cpcms_diversionary_data,program_period_days,8,DOUBLE,205006,4801,20,0.023418826766045873,240.05,FALSE,drop: many nulls
cpcms_diversionary_data,program_period_months,7,DOUBLE,205006,131072,44,0.639356896871311,2978.91,FALSE,numeric
cpcms_diversionary_data,program_period_years,6,DOUBLE,205006,29378,11,0.1433031228354292,2670.73,FALSE,drop: many nulls
cpcms_diversionary_data,program_start_date,9,VARCHAR,205006,205006,3616,1,56.69,FALSE,date
cpcms_docket_entry_data,docket_number,1,VARCHAR,40790548,40790548,1484532,1,27.48,FALSE,key
cpcms_docket_entry_data,filed_date,3,VARCHAR,40790548,40790548,9229591,1,4.42,FALSE,date
cpcms_docket_entry_data,filer,5,VARCHAR,40790548,40770783,577196,0.9995154514717478,70.64,FALSE,other
cpcms_docket_entry_data,official_docket_entry,4,VARCHAR,40790548,40790548,10031,1,4066.45,FALSE,other
cpcms_docket_entry_data,otn,2,VARCHAR,40790548,40739857,1409857,0.998757285633917,28.9,FALSE,key
cpcms_financial_data,adjusted_amount,6,DOUBLE,29194256,29194256,88570,1,329.62,FALSE,numeric
cpcms_financial_data,assessed_amount,5,DOUBLE,29194256,29194256,159735,1,182.77,FALSE,numeric
cpcms_financial_data,assessment_category,3,VARCHAR,29194256,29194256,3,1,9731418.67,FALSE,group: <= 10
cpcms_financial_data,assessment_type,4,VARCHAR,29194256,29194256,4111,1,7101.5,FALSE,other
cpcms_financial_data,balance,9,DOUBLE,29194256,29194256,168154,1,173.62,FALSE,numeric
cpcms_financial_data,docket_number,1,VARCHAR,29194256,29194256,1362724,1,21.42,FALSE,key
cpcms_financial_data,non_monetary_payment_amount,7,DOUBLE,29194256,29194256,15272,1,1911.62,FALSE,numeric
cpcms_financial_data,otn,2,VARCHAR,29194256,29175961,1328896,0.9993733356315023,21.96,FALSE,key
cpcms_financial_data,payment_amount,8,DOUBLE,29194256,29194256,110564,1,264.05,FALSE,numeric
cpcms_offense_data,description,7,VARCHAR,3669335,3669335,5381,1,681.91,FALSE,other
cpcms_offense_data,docket_number,1,VARCHAR,3669335,3669335,1484439,1,2.47,FALSE,key
