table_name,column_name,column_order,data_type,n_with_data,n_distinct,pct_with_data
cpcms_offense_data,offense_disposition_date,10,VARCHAR,3627458,670166,0.9885873053291673
cpcms_offense_data,offense_grade,12,VARCHAR,3543093,19,0.9655954008015076
cpcms_offense_data,offense_sequence_number,3,DOUBLE,3669335,4616,1
cpcms_offense_data,otn,2,VARCHAR,3658848,1409859,0.9971419889435007
cpcms_offense_data,section,5,VARCHAR,3669335,1248,1
cpcms_offense_data,sub_section,6,VARCHAR,3382275,940,0.9217678407667874
cpcms_offense_data,title,4,VARCHAR,3669335,45,1
cpcms_participant_confinement_data,confinement_date,3,VARCHAR,1386972,22757,1
cpcms_participant_confinement_data,confinement_end_date,4,VARCHAR,1097071,7836,0.7909828028251471
cpcms_participant_confinement_data,confinement_reason,7,VARCHAR,53491,30,0.03856674828331069
cpcms_participant_confinement_data,confinement_type,5,VARCHAR,1386972,10,1
cpcms_participant_confinement_data,defendant_dob,2,DATE,1386087,21710,0.9993619193466055
cpcms_participant_confinement_data,defendant_name,1,VARCHAR,1386972,558422,1
cpcms_participant_confinement_data,reporting_institution,6,VARCHAR,1376519,802,0.992463438339058
cpcms_participant_confinement_data,still_in_custody,8,VARCHAR,1386972,2,1
cpcms_payment_plan_data,active,5,VARCHAR,704719,1,1
cpcms_payment_plan_data,docket_number,1,VARCHAR,704719,704685,1
cpcms_payment_plan_data,due_date,4,DATE,697122,8877,0.9892198166928946
cpcms_payment_plan_data,next_due_amt,7,DOUBLE,704719,45047,1
cpcms_payment_plan_data,otn,2,VARCHAR,702621,691312,0.9970229268687235
cpcms_payment_plan_data,overdue_amt,8,DOUBLE,704719,114897,1
cpcms_payment_plan_data,payment_plan_frequency,3,VARCHAR,704719,8,1
cpcms_payment_plan_data,suspended,6,VARCHAR,704719,1,1
cpcms_related_case_data,docket_number,1,VARCHAR,661978,223993,1
cpcms_related_case_data,related_case_caption,4,VARCHAR,661974,149187,0.9999939575031195
cpcms_related_case_data,related_court,3,VARCHAR,661978,64,1
cpcms_related_case_data,related_docket_no,2,VARCHAR,661978,282231,1
cpcms_sentence_data,case_disposition,23,VARCHAR,4953191,130,0.9999997981099864
cpcms_sentence_data,credit_for_time_served,22,DOUBLE,1456962,1895,0.2941460779230847
cpcms_sentence_data,disposing_judge,25,VARCHAR,4953192,1567,1
cpcms_sentence_data,docket_number,1,VARCHAR,4953192,1000447,1
cpcms_sentence_data,effective_sentence_date,9,VARCHAR,1919564,8309,0.3875408019717386
cpcms_sentence_data,max_days,16,DOUBLE,4370007,1194,0.882260772447343
cpcms_sentence_data,max_hours,17,DOUBLE,4353222,42,0.8788720485698919
cpcms_sentence_data,max_months,15,DOUBLE,4395401,268,0.8873875674514535
cpcms_sentence_data,max_years,14,DOUBLE,4393618,64,0.8870275975572923
cpcms_sentence_data,min_days,12,DOUBLE,4358935,1189,0.8800254462173079
cpcms_sentence_data,min_hours,13,DOUBLE,4349967,61,0.8782148965757839
cpcms_sentence_data,min_months,11,DOUBLE,4398582,165,0.8880297795845588
cpcms_sentence_data,min_years,10,DOUBLE,4394578,45,0.8872214119703011
cpcms_sentence_data,offense_disposition,24,VARCHAR,4953004,62,0.9999620446774524
cpcms_sentence_data,offense_sequence_number,4,DOUBLE,4953192,2437,1
cpcms_sentence_data,originating_offense_sequence_number,3,DOUBLE,4953192,2554,1
cpcms_sentence_data,otn,2,VARCHAR,4950442,990233,0.9994448024627351
cpcms_sentence_data,program_type,8,VARCHAR,4412703,39,0.8908806684659105
