table_name,column_name,column_order,data_type,n_rows,pct_with_data,n_records,n_distinct,est_rows_same_value,likely_pii,action
cpcms_calendar_event_data,schedule_status,6,VARCHAR,10777682,0.999999072156703,10777672,6,1796278.67,FALSE,group: <= 10
cpcms_calendar_event_data,attending_judge,7,VARCHAR,10777682,0.7871158195240869,8483284,1059,8010.66,FALSE,other
cpcms_case_data,county,1,VARCHAR,1492301,1,1492301,67,22273.15,FALSE,other
cpcms_case_data,docket_number,2,VARCHAR,1492301,1,1492301,1484536,1.01,FALSE,key
cpcms_case_data,otn,3,VARCHAR,1492301,0.9980848367722062,1489443,1409861,1.06,FALSE,key
cpcms_case_data,originating_docket_number,4,VARCHAR,1492301,0.9971969461924907,1488118,1433792,1.04,FALSE,key
cpcms_case_data,filed_date,5,DATE,1492301,1,1492301,14530,102.7,FALSE,date
cpcms_case_data,initiation_date,6,DATE,1492301,0.9999993298939021,1492300,14561,102.49,FALSE,date
cpcms_case_data,arrest_date,7,DATE,1492301,0.5573265715160681,831699,14872,55.92,FALSE,date
cpcms_case_data,case_status,8,VARCHAR,1492301,1,1492301,5,298460.2,FALSE,group: <= 10
cpcms_case_data,defendant_name,9,VARCHAR,1492301,1,1492301,837844,1.78,TRUE,likely key
cpcms_case_data,defendant_gender,10,VARCHAR,1492301,0.9987495820213215,1490435,3,496811.67,FALSE,group: <= 10
cpcms_case_data,defendant_race,11,VARCHAR,1492301,0.9963211175225374,1486811,8,185851.38,FALSE,group: <= 10
cpcms_case_data,defendant_dob,12,DATE,1492301,0.9982590643576598,1489703,23818,62.55,TRUE,date
cpcms_case_data,defendant_zip_code,13,VARCHAR,1492301,0.9822261058593407,1465777,36521,40.14,FALSE,other
cpcms_diversionary_data,docket_number,1,VARCHAR,205006,1,205006,75763,2.71,FALSE,key
cpcms_diversionary_data,otn,2,VARCHAR,205006,0.9999658546579124,204999,75646,2.71,FALSE,key
cpcms_diversionary_data,offense_sequence_number,3,DOUBLE,205006,1,205006,893,229.57,FALSE,numeric
cpcms_diversionary_data,diversionary_program_type,4,VARCHAR,205006,1,205006,25,8200.24,FALSE,group: <= 30
cpcms_diversionary_data,program_admission_date,5,DATE,205006,1,205006,3567,57.47,FALSE,date
cpcms_diversionary_data,program_period_years,6,DOUBLE,205006,0.1433031228354292,29378,11,2670.73,FALSE,drop: many nulls
cpcms_diversionary_data,program_period_months,7,DOUBLE,205006,0.639356896871311,131072,44,2978.91,FALSE,numeric
cpcms_diversionary_data,program_period_days,8,DOUBLE,205006,0.023418826766045873,4801,20,240.05,FALSE,drop: many nulls
cpcms_diversionary_data,program_start_date,9,DATE,205006,1,205006,3616,56.69,FALSE,date
cpcms_docket_entry_data,docket_number,1,VARCHAR,40790548,1,40790548,1484532,27.48,FALSE,key
cpcms_docket_entry_data,otn,2,VARCHAR,40790548,0.998757285633917,40739857,1409857,28.9,FALSE,key
cpcms_docket_entry_data,filed_date,3,DATE,40790548,1,40790548,16269,2507.26,FALSE,date
cpcms_docket_entry_data,official_docket_entry,4,VARCHAR,40790548,1,40790548,10031,4066.45,FALSE,other
cpcms_docket_entry_data,filer,5,VARCHAR,40790548,0.9995154514717478,40770783,577196,70.64,FALSE,other
cpcms_financial_data,docket_number,1,VARCHAR,29194256,1,29194256,1362724,21.42,FALSE,key
cpcms_financial_data,otn,2,VARCHAR,29194256,0.9993733356315023,29175961,1328896,21.96,FALSE,key
cpcms_financial_data,assessment_category,3,VARCHAR,29194256,1,29194256,3,9731418.67,FALSE,group: <= 10
cpcms_financial_data,assessment_type,4,VARCHAR,29194256,1,29194256,4111,7101.5,FALSE,other
cpcms_financial_data,assessed_amount,5,DOUBLE,29194256,1,29194256,159735,182.77,FALSE,numeric
cpcms_financial_data,adjusted_amount,6,DOUBLE,29194256,1,29194256,88570,329.62,FALSE,numeric
cpcms_financial_data,non_monetary_payment_amount,7,DOUBLE,29194256,1,29194256,15272,1911.62,FALSE,numeric
cpcms_financial_data,payment_amount,8,DOUBLE,29194256,1,29194256,110564,264.05,FALSE,numeric
cpcms_financial_data,balance,9,DOUBLE,29194256,1,29194256,168154,173.62,FALSE,numeric
cpcms_offense_data,docket_number,1,VARCHAR,3669335,1,3669335,1484439,2.47,FALSE,key
cpcms_offense_data,otn,2,VARCHAR,3669335,0.9971419889435007,3658848,1409859,2.6,FALSE,key
cpcms_offense_data,offense_sequence_number,3,DOUBLE,3669335,1,3669335,4616,794.92,FALSE,numeric
cpcms_offense_data,title,4,VARCHAR,3669335,1,3669335,45,81540.78,FALSE,other
cpcms_offense_data,section,5,VARCHAR,3669335,1,3669335,1248,2940.17,FALSE,other
cpcms_offense_data,sub_section,6,VARCHAR,3669335,0.9217678407667874,3382275,940,3598.16,FALSE,other
cpcms_offense_data,description,7,VARCHAR,3669335,1,3669335,5381,681.91,FALSE,other
cpcms_offense_data,offense_date,8,DATE,3669335,0.9999871911395389,3669288,15158,242.07,FALSE,date
cpcms_offense_data,offense_disposition,9,VARCHAR,3669335,0.9885873053291673,3627458,189,19192.9,FALSE,other
cpcms_offense_data,offense_disposition_date,10,DATE,3669335,0.9885873053291673,3627458,11083,327.3,FALSE,date
cpcms_offense_data,lead_offense_indicator,11,VARCHAR,3669335,1,3669335,2,1834667.5,FALSE,group: dichotomous
cpcms_offense_data,offense_grade,12,VARCHAR,3669335,0.9655954008015076,3543093,19,186478.58,FALSE,group: <= 30
cpcms_participant_confinement_data,defendant_name,1,VARCHAR,1386972,1,1386972,558422,2.48,TRUE,other
cpcms_participant_confinement_data,defendant_dob,2,DATE,1386972,0.9993619193466055,1386087,21710,63.85,TRUE,date
cpcms_participant_confinement_data,confinement_date,3,DATE,1386972,1,1386972,11144,124.46,FALSE,date
cpcms_participant_confinement_data,confinement_end_date,4,DATE,1386972,0.7909828028251471,1097071,7181,152.77,FALSE,date
cpcms_participant_confinement_data,confinement_type,5,VARCHAR,1386972,1,1386972,10,138697.2,FALSE,group: <= 10
cpcms_participant_confinement_data,reporting_institution,6,VARCHAR,1386972,0.992463438339058,1376519,802,1716.36,FALSE,other
cpcms_participant_confinement_data,confinement_reason,7,VARCHAR,1386972,0.03856674828331069,53491,30,1783.03,FALSE,drop: many nulls
cpcms_participant_confinement_data,still_in_custody,8,VARCHAR,1386972,1,1386972,2,693486,FALSE,group: dichotomous
cpcms_payment_plan_data,docket_number,1,VARCHAR,704719,1,704719,704685,1,FALSE,key
cpcms_payment_plan_data,otn,2,VARCHAR,704719,0.9970229268687235,702621,691312,1.02,FALSE,key
cpcms_payment_plan_data,payment_plan_frequency,3,VARCHAR,704719,1,704719,8,88089.88,FALSE,group: <= 10
cpcms_payment_plan_data,due_date,4,DATE,704719,0.9892198166928946,697122,8877,78.53,FALSE,date
cpcms_payment_plan_data,active,5,VARCHAR,704719,1,704719,1,704719,FALSE,drop: only one value
cpcms_payment_plan_data,suspended,6,VARCHAR,704719,1,704719,1,704719,FALSE,drop: only one value
cpcms_payment_plan_data,next_due_amt,7,DOUBLE,704719,1,704719,45047,15.64,FALSE,numeric
cpcms_payment_plan_data,overdue_amt,8,DOUBLE,704719,1,704719,114897,6.13,FALSE,numeric
cpcms_related_case_data,docket_number,1,VARCHAR,661978,1,661978,223993,2.96,FALSE,key
cpcms_related_case_data,related_docket_no,2,VARCHAR,661978,1,661978,282231,2.35,FALSE,key
cpcms_related_case_data,related_court,3,VARCHAR,661978,1,661978,64,10343.41,FALSE,other
cpcms_related_case_data,related_case_caption,4,VARCHAR,661978,0.9999939575031195,661974,149187,4.44,FALSE,other
cpcms_sentence_data,docket_number,1,VARCHAR,2741628,1,2741628,1014414,2.7,FALSE,key
cpcms_sentence_data,otn,2,VARCHAR,2741628,0.9984086097749221,2737265,999149,2.74,FALSE,key
cpcms_sentence_data,originating_offense_sequence_number,3,DOUBLE,2741628,1,2741628,2556,1072.62,FALSE,numeric
cpcms_sentence_data,offense_sequence_number,4,DOUBLE,2741628,1,2741628,2441,1123.16,FALSE,numeric
cpcms_sentence_data,sentence_type,5,VARCHAR,2741628,1,2741628,7,391661.14,FALSE,group: <= 10
cpcms_sentence_data,sentence_date,6,TIMESTAMP,2741628,1,2741628,995358,2.75,FALSE,date
cpcms_sentence_data,sentence_period,7,VARCHAR,2741628,0.7623904483029791,2090191,3158,661.87,FALSE,other
cpcms_sentence_data,program_type,8,VARCHAR,2741628,0.7886799376137098,2162267,35,61779.06,FALSE,other
cpcms_sentence_data,effective_sentence_date,9,DATE,2741628,0.32518817286663254,891545,8277,107.71,FALSE,drop: many nulls
cpcms_sentence_data,min_years,10,DOUBLE,2741628,0.7971391450627145,2185459,47,46499.13,FALSE,numeric
cpcms_sentence_data,min_months,11,DOUBLE,2741628,0.7986105335953674,2189493,164,13350.57,FALSE,numeric
cpcms_sentence_data,min_days,12,DOUBLE,2741628,0.7752795054617184,2125528,1056,2012.81,FALSE,numeric
cpcms_sentence_data,min_hours,13,DOUBLE,2741628,0.7600378315365907,2083741,62,33608.73,FALSE,numeric
cpcms_sentence_data,max_years,14,DOUBLE,2741628,0.7881040024394265,2160688,63,34296.63,FALSE,numeric
