table_name,column_name,column_order,data_type,pct_with_data,n_records,n_distinct
cpcms_docket_entry_data,filer,5,VARCHAR,0.9995154514717478,40770783,577196
cpcms_financial_data,docket_number,1,VARCHAR,1,29194256,1362724
cpcms_financial_data,otn,2,VARCHAR,0.9993733356315023,29175961,1328896
cpcms_financial_data,assessment_category,3,VARCHAR,1,29194256,3
cpcms_financial_data,assessment_type,4,VARCHAR,1,29194256,4111
cpcms_financial_data,assessed_amount,5,DOUBLE,1,29194256,159735
cpcms_financial_data,adjusted_amount,6,DOUBLE,1,29194256,88570
cpcms_financial_data,non_monetary_payment_amount,7,DOUBLE,1,29194256,15272
cpcms_financial_data,payment_amount,8,DOUBLE,1,29194256,110564
cpcms_financial_data,balance,9,DOUBLE,1,29194256,168154
cpcms_offense_data,docket_number,1,VARCHAR,1,3669335,1484439
cpcms_offense_data,otn,2,VARCHAR,0.9971419889435007,3658848,1409859
cpcms_offense_data,offense_sequence_number,3,DOUBLE,1,3669335,4616
cpcms_offense_data,title,4,VARCHAR,1,3669335,45
cpcms_offense_data,section,5,VARCHAR,1,3669335,1248
cpcms_offense_data,sub_section,6,VARCHAR,0.9217678407667874,3382275,940
cpcms_offense_data,description,7,VARCHAR,1,3669335,5381
cpcms_offense_data,offense_date,8,DATE,0.9999871911395389,3669288,15158
cpcms_offense_data,offense_disposition,9,VARCHAR,0.9885873053291673,3627458,189
cpcms_offense_data,offense_disposition_date,10,DATE,0.9885873053291673,3627458,11083
cpcms_offense_data,lead_offense_indicator,11,VARCHAR,1,3669335,2
cpcms_offense_data,offense_grade,12,VARCHAR,0.9655954008015076,3543093,19
cpcms_participant_confinement_data,defendant_name,1,VARCHAR,1,1386972,558422
cpcms_participant_confinement_data,defendant_dob,2,DATE,0.9993619193466055,1386087,21710
cpcms_participant_confinement_data,confinement_date,3,DATE,1,1386972,11144
cpcms_participant_confinement_data,confinement_end_date,4,DATE,0.7909828028251471,1097071,7181
cpcms_participant_confinement_data,confinement_type,5,VARCHAR,1,1386972,10
cpcms_participant_confinement_data,reporting_institution,6,VARCHAR,0.992463438339058,1376519,802
cpcms_participant_confinement_data,confinement_reason,7,VARCHAR,0.03856674828331069,53491,30
cpcms_participant_confinement_data,still_in_custody,8,VARCHAR,1,1386972,2
cpcms_payment_plan_data,docket_number,1,VARCHAR,1,704719,704685
cpcms_payment_plan_data,otn,2,VARCHAR,0.9970229268687235,702621,691312
cpcms_payment_plan_data,payment_plan_frequency,3,VARCHAR,1,704719,8
cpcms_payment_plan_data,due_date,4,DATE,0.9892198166928946,697122,8877
cpcms_payment_plan_data,active,5,VARCHAR,1,704719,1
cpcms_payment_plan_data,suspended,6,VARCHAR,1,704719,1
cpcms_payment_plan_data,next_due_amt,7,DOUBLE,1,704719,45047
cpcms_payment_plan_data,overdue_amt,8,DOUBLE,1,704719,114897
cpcms_related_case_data,docket_number,1,VARCHAR,1,661978,223993
cpcms_related_case_data,related_docket_no,2,VARCHAR,1,661978,282231
cpcms_related_case_data,related_court,3,VARCHAR,1,661978,64
cpcms_related_case_data,related_case_caption,4,VARCHAR,0.9999939575031195,661974,149187
cpcms_sentence_data,docket_number,1,VARCHAR,1,2741628,1014414
cpcms_sentence_data,otn,2,VARCHAR,0.9984086097749221,2737265,999149
cpcms_sentence_data,originating_offense_sequence_number,3,DOUBLE,1,2741628,2556
cpcms_sentence_data,offense_sequence_number,4,DOUBLE,1,2741628,2441
cpcms_sentence_data,sentence_type,5,VARCHAR,1,2741628,7
